City_ID,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Longitude,Date,Country
0,Hualmay,-11.0964,76.39,80,81,9.78,-77.6139,1681088863,PE
1,Ushuaia,-54.8,37.06,87,100,37.98,-68.3,1681088863,AR
2,Codrington,-38.2667,57.96,66,100,13.47,141.9667,1681088864,AU
3,Bambous Virieux,-20.3428,75.45,94,75,8.05,57.7575,1681088839,MU
4,Haines Junction,60.7522,35.96,75,100,2.62,-137.5108,1681088839,CA
5,Terrace,54.5163,40.91,87,75,17.27,-128.6035,1681088754,CA
6,Emilio Carranza,19.9711,72.1,84,100,6.71,-96.6114,1681088840,MX
7,Warren,39.4334,50.85,54,0,3.44,-84.1666,1681088696,US
8,Tasiilaq,65.6145,37.56,96,100,30.65,-37.6368,1681088864,GL
9,Vaini,-21.2,86.16,74,40,10.36,-175.2,1681088865,TO
10,Izhma,65.0083,16.29,90,72,8.66,53.9113,1681088865,RU
11,Port Hardy,50.6996,45.43,75,7,11.7,-127.4199,1681088842,CA
12,Clyde River,70.4692,-10.37,82,0,3.51,-68.5914,1681088842,CA
13,Tuktoyaktuk,69.4541,15.8,86,100,18.41,-133.0374,1681088594,CA
14,Hithadhoo,-0.6,81.84,70,6,3.85,73.0833,1681088693,MV
15,Kultuk,51.7208,16.38,68,100,11.92,103.6956,1681088843,RU
16,Guía de Isora,28.2115,58.28,84,40,7.2,-16.7795,1681088843,ES
17,Beringovskiy,63.05,2.68,86,23,9.57,179.3167,1681088843,RU
18,Vila Velha,-20.3297,73.35,94,100,14.97,-40.2925,1681088677,BR
